gene_symbol,high_impact,therapeutic,targeted_drug,avoid_ineffective_therapy,supportive_dietary,extrarenal_surveillance,transplant_donor,rationale,knoers_table,knoers_utility_text,notes,in_simulation,needs_review,disease_groups
KCNA1,0,0,0,0,0,0,0,KCNA1 hypomagnesemia: ultra-rare; limited renal phenotype data; no established gene-specific management,S2,,S2 utility blank; insufficient clinical data for gene-specific intervention,TRUE,FALSE,Tubulopathies
KCNJ1,1,1,0,0,1,0,0,Bartter type 2: renal protection; nephrolithiasis prevention,S2,"Renal protection strategies
Prevention of recurrent nephrolithiasis/nephrocalcinois",S2 utility: renal protection + nephrolithiasis,TRUE,FALSE,Tubulopathies
KCNJ10,1,0,0,0,0,1,0,auto-assigned by keyword matching,S2,Early detection and treatment of Sensorineural hearing loss,,FALSE,FALSE,Tubulopathies
KCNJ16,1,0,0,0,0,1,0,auto-assigned by keyword matching,S2,Early detection and treatment of Sensorineural hearing loss,,FALSE,FALSE,Tubulopathies
KIAA0556,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
KIAA0586,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
KIF14,0,0,0,0,0,0,0,,S4;S5,"genetic couseling | adequation of treatment follow up
genetic counseling",,FALSE,FALSE,CAKUT;Ciliopathies
KIF7,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
KLHL3,1,1,1,0,1,0,0,PHA2 (Gordon): thiazide diuretics; hypertension prevention,S2,Specific treatment. Prevention of hypertension complications,S2 utility explicit: Specific treatment. Prevention of hypertension complications,TRUE,FALSE,Tubulopathies
LAGE3,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
LAMA5,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
LAMB2,1,1,0,1,0,1,0,Pierson syndrome: avoid IS; ocular (microcoria) + neuromuscular surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 609049,FALSE,FALSE,Glomerulopathies
LDLR,1,1,1,0,0,1,0,FH: statin/PCSK9i therapy; cardiovascular surveillance,,,Extension gene; actionable but not a primary renal gene,TRUE,FALSE,
LHX1,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
LIFR,0,0,0,0,0,0,0,,S4,,,FALSE,FALSE,CAKUT
LMNA,1,0,0,0,0,1,0,LMNA: cardiac (DCM/conduction) surveillance,,,Extension gene; cardiac monitoring established,TRUE,FALSE,
LMX1B,1,0,0,0,0,1,0,Nail-patella syndrome: skeletal/ocular/nail surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,"S1 utility generic; extrarenal surveillance from OMIM/GeneReviews, not Knoers paper body specifically",TRUE,FALSE,Glomerulopathies
LRIG2,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
LRP4,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
LRP5,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
LZTFL1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
MAGED2,0,0,0,0,0,0,0,,S2,Identification of females carriers,,FALSE,FALSE,Tubulopathies
MAGI2,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
MAP2K2,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
MAP7D3,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
MAPKBP1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
MKKS,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
MKS1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
MTTL1,1,1,0,1,0,1,0,"Mitochondrial (m.3243A>G): avoid IS for FSGS; MELAS surveillance (diabetes, deafness, cardiac, stroke-like)",S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 540000,FALSE,FALSE,Glomerulopathies
MUC1,1,0,0,0,0,0,1,"ADTKD-MUC1: clarifies working diagnosis in CKDu; donor screening (AD, variable penetrance)",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; paper p.243 discusses ADTKD donor implications,TRUE,FALSE,Ciliopathies
MYH11,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
MYH9,1,1,0,1,0,1,1,MYH9-RD: avoid IS for FSGS; hearing + ocular (cataracts) + hematologic surveillance; donor screening (AD),S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 155100; AD requires donor evaluation,FALSE,FALSE,Glomerulopathies
MYO1E,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
NADSYN1,0,0,0,0,0,0,0,,S4,genetic couseling,,FALSE,FALSE,CAKUT
NEK8,0,0,0,0,0,0,0,,S4;S5,"genetic 
counseling | adequation of treatment follow up
genetic counseling",,FALSE,FALSE,CAKUT;Ciliopathies
NOTCH2,1,0,0,0,0,1,0,Alagille type 2: hepatic/cardiac surveillance (same as JAG1),S4,"adequation of treatment and follow up
genetic counseling",S4 utility generic; Alagille extrarenal features,TRUE,FALSE,CAKUT
NPHP1,1,0,0,0,0,1,0,NPHP1: retinal degeneration screening (Senior-Loken syndrome),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; paper p.249-250 names extrarenal manifestations of NPHP genes,TRUE,FALSE,Ciliopathies
NPHP3,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
NPHP4,1,0,0,0,0,1,0,NPHP4: retinal degeneration screening (ciliopathy extrarenal),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; same rationale as NPHP1,TRUE,FALSE,Ciliopathies
NPHS1,1,1,0,1,0,0,1,Hereditary NS: avoid IS; donor screening (AR but proband Tx evaluation),S1,,S1 utility blank; categories from paper body pp.245-246,TRUE,FALSE,Glomerulopathies
NPHS2,1,1,0,1,0,0,1,SRNS: avoid IS; donor screening; R229Q genotype-phenotype,S1,,S1 utility blank; categories from paper body pp.245-246,TRUE,FALSE,Glomerulopathies
NR3C2,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Prevention of severe dehydration and life-threatening hyperkalemia,,FALSE,FALSE,Tubulopathies
NUP107,1,1,0,1,0,0,0,AR SRNS (nucleoporin): avoid IS (hereditary glomerulopathy),S1,,S1 generic utility; avoid IS per Knoers p.245; consistent with blanket hereditary SRNS rule,TRUE,FALSE,Glomerulopathies
NUP133,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
NUP160,1,1,0,1,0,0,0,AR SRNS (nucleoporin): avoid IS (hereditary glomerulopathy),S1,,S1 generic utility; avoid IS per Knoers p.245; consistent with blanket hereditary SRNS rule,TRUE,FALSE,Glomerulopathies
NUP205,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
NUP85,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
NUP93,1,1,0,1,0,0,0,AR SRNS (nucleoporin): avoid IS (hereditary glomerulopathy),S1,,S1 generic utility; avoid IS per Knoers p.245; partial IS response reported in isolated cases but general recommendation is avoidance,TRUE,FALSE,Glomerulopathies
OCRL,1,1,0,0,1,1,0,Lowe/Dent-2: renal protection; ophthalmologic/developmental surveillance,S2,"Identification of females carriers
Renal protection strategies
 | Identification of females carriers
Renal protection strategies Prevention of recurrent nephrolithiasis/nephrocalcinois",S2 utility: renal protection; Lowe extrarenal from OMIM,TRUE,FALSE,Tubulopathies
OFD1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
OSGEP,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
PAX2,1,0,0,0,0,1,1,Papillorenal: ocular screening (p.243); FSGS phenocopy of SRNS (p.249); donor screening (AD),S1;S4,"adequation of treatment and follow up
genetic counseling","S4 utility generic; paper pp.243,249 name specific benefits",TRUE,FALSE,Glomerulopathies;CAKUT
PBX1,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
PDE6D,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
PDSS2,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
PIBF1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
PIGV,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
PKD1,1,1,1,0,0,0,1,Tolvaptan (V2R antagonist); PROPKD genotype-guided risk stratification; donor screening (AD),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; paper p.250 names tolvaptan; UKKA/KDIGO guidelines confirm,TRUE,FALSE,Ciliopathies
PKD2,1,1,1,0,0,0,1,Tolvaptan; PROPKD score (milder than PKD1); donor screening (AD),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; same rationale as PKD1,TRUE,FALSE,Ciliopathies
PKHD1,1,0,0,0,0,1,0,ARPKD: hepatic fibrosis surveillance (CHF),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; extrarenal CHF from OMIM/GeneReviews,TRUE,FALSE,Ciliopathies
PLCe1,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
PMM2,1,1,0,1,0,1,0,CDG-1a: avoid IS for FSGS; neurological + hepatic + cardiac + coagulation surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 212065,FALSE,FALSE,Glomerulopathies
PODXL,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
PTPRO,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
RCAN1,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
REN,1,0,0,0,0,0,1,ADTKD-REN: clarifies working diagnosis in CKDu; donor screening (AD),S4;S5,"genetic
counseling | adequation of treatment follow up
genetic counseling",S4/S5 utility genetic counseling only; same ADTKD rationale as MUC1/UMOD,TRUE,FALSE,CAKUT;Ciliopathies
RET,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
RPGRIP1L,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
SALL1,1,0,0,0,0,1,0,Townes-Brocks: hearing/anal/limb surveillance,S4,"adequation of treatment and follow up
genetic counseling",S4 utility generic; extrarenal from OMIM,TRUE,FALSE,CAKUT
SALL4,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
SCARB2,1,1,0,1,0,1,0,AMRF: avoid IS; progressive myoclonus epilepsy surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 254900,FALSE,FALSE,Glomerulopathies
SCNN1A,1,1,1,0,1,0,0,Liddle/PHA1: amiloride (Liddle) or salt supplementation (PHA1); dehydration/hyperkalemia prevention,S2,Specific treatment. Prevention of hypertension complications | Prevention of severe dehydration and life-threatening hyperkalemia,S2 utility explicit: Specific treatment (Liddle) + Prevention of severe dehydration (PHA1),TRUE,FALSE,Tubulopathies
SCNN1B,1,1,1,0,1,0,0,auto-assigned by keyword matching,S2,Specific treatment. Prevention of hypertension complications | Prevention of severe dehydration and life-threatening hyperkalemia,,FALSE,FALSE,Tubulopathies
SCNN1G,1,1,1,0,1,0,0,auto-assigned by keyword matching,S2,Specific treatment. Prevention of hypertension complications | Prevention of severe dehydration and life-threatening hyperkalemia,,FALSE,FALSE,Tubulopathies
SDCCAG8,1,0,0,0,0,1,0,SDCCAG8/NPHP: retinal degeneration surveillance (Senior-Loken type 16),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; retinal involvement established in OMIM,TRUE,FALSE,Ciliopathies
SEC61A1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
SGPL1,1,1,0,1,0,1,0,SPLIS: avoid IS; adrenal insufficiency (critical) + neurological + immunodeficiency surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 617575; adrenal crisis risk,FALSE,FALSE,Glomerulopathies
SIX1,1,0,0,0,0,1,0,auto-assigned by keyword matching,S4,"earing screening, adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
SIX2,0,0,0,0,0,0,0,,S4,genetic counseling,,FALSE,FALSE,CAKUT
SIX5,0,0,0,0,0,0,0,,S4,,,FALSE,FALSE,CAKUT
SLC12A1,1,1,0,0,1,0,0,Bartter type 1: electrolyte management; nephrolithiasis prevention,S2,"Renal protection strategies
Prevention of recurrent nephrolithiasis/nephrocalcinois",S2 utility explicit: renal protection + nephrolithiasis prevention,FALSE,FALSE,Tubulopathies
SLC12A3,1,1,0,0,1,0,0,Gitelman: prevention of chronic complications (electrolyte management),S2,Prevention of chronic complications,S2 utility: prevention of chronic complications,TRUE,FALSE,Tubulopathies
SLC22A12,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Prevention of AKI and recurrent nephrolithiasis,,FALSE,FALSE,Tubulopathies
SLC2A2,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Adapted dietary management. Adequation of treatment and follow-up,,FALSE,FALSE,Tubulopathies
SLC2A9,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Prevention of AKI and recurrent nephrolithiasis,,FALSE,FALSE,Tubulopathies
SLC34A1,1,1,0,0,1,0,0,HHRH/Fanconi renotubular: prevention of recurrent nephrolithiasis and nephrocalcinosis,S2,Adequation of treatment and follow-up | Prevention of recurrent nephrolithiasis | Prevention of recurrent nephrolithiasis/nephrocalcinois,S2 utility explicit: nephrolithiasis prevention,TRUE,FALSE,Tubulopathies
SLC34A3,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Prevention of recurrent nephrolithiasis,,FALSE,FALSE,Tubulopathies
SLC37A4,1,1,0,0,1,0,0,GSD-1b: dietary management; renal protection; neutropenia monitoring,S2,Adapted dietary management. Renal protection strategies. Adequation of treatment and follow-up,S2 utility explicit: adapted dietary management + renal protection,FALSE,FALSE,Tubulopathies
SLC3A1,1,1,0,0,1,0,0,"Cystinuria type A: nephrolithiasis prevention (hydration, alkalinization)",S2,Prevention of recurrent nephrolithiasis,S2 utility explicit: Prevention of recurrent nephrolithiasis,TRUE,FALSE,Tubulopathies
SLC41A1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
SLC4A1,1,1,0,0,1,0,0,dRTA (SLC4A1): nephrolithiasis prevention; alkali therapy,S2,Prevention of recurrent nephrolithiasis,S2 utility explicit: Prevention of recurrent nephrolithiasis,TRUE,FALSE,Tubulopathies
SLC4A4,1,0,0,0,0,1,0,"pRTA (SLC4A4): ophthalmologic + dental surveillance (band keratopathy, dental enamel defects)",S2,"Ophtalmologic screening 
Dental survey and treatment",S2 utility explicit: Ophtalmologic screening; Dental survey and treatment,TRUE,FALSE,Tubulopathies
SLC5A2,0,0,0,0,0,0,0,Renal glucosuria: benign condition; no treatment required,S2,,S2 utility blank; benign renal glucosuria requires no intervention,TRUE,FALSE,Tubulopathies
SLC7A9,1,1,0,0,1,0,0,"Cystinuria type B: nephrolithiasis prevention (hydration, alkalinization, tiopronin)",S2,Prevention of recurrent nephrolithiasis,S2 utility explicit: Prevention of recurrent nephrolithiasis,TRUE,FALSE,Tubulopathies
SLC9A3R1,1,1,0,0,1,0,0,NHERF1 nephrolithiasis: stone prevention,S2,Prevention of recurrent nephrolithiasis,S2 utility explicit: Prevention of recurrent nephrolithiasis,TRUE,FALSE,Tubulopathies
SMARCAL1,1,1,0,1,0,1,0,Schimke SIOD: avoid IS; skeletal + immunodeficiency + cerebrovascular surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 242900,FALSE,FALSE,Glomerulopathies
SRCAP,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
SUFU,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TBC1D1,0,0,0,0,0,0,0,,S4,genetic counseling,,FALSE,FALSE,CAKUT
TBC1D8B,1,1,0,1,0,0,0,X-linked SRNS: avoid IS (hereditary glomerulopathy),S1,,S1 generic utility; avoid IS per Knoers p.245; consistent with other SRNS genes,TRUE,FALSE,Glomerulopathies
TBX18,0,0,0,0,0,0,0,,S4,genetic counseling,,FALSE,FALSE,CAKUT
TBX3,0,0,0,0,0,0,0,,S4,genetic counseling,,FALSE,FALSE,CAKUT
TCTN1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TCTN2,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TCTN3,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
THBD,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
TMEM107,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TMEM138,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TMEM216,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TMEM231,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TMEM237,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TMEM67,1,0,0,0,0,1,0,"TMEM67/Joubert-Meckel: hepatic fibrosis, retinal, CNS surveillance",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; Joubert/Meckel extrarenal features from OMIM,TRUE,FALSE,Ciliopathies
TNS2,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
TP53RK,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
TPRKB,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
TRAF3IP1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TRIM32,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
TRPC6,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
TRPM6,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,"prevention of hypomagnesemia complications, prevention of hypocalcemia",,FALSE,FALSE,Tubulopathies
TSC1,1,1,1,0,0,1,0,TSC: everolimus (mTOR inhibitor) for AML; tumor/CNS/skin surveillance,,,Extension gene; EXIST-1/2 trials confirm everolimus efficacy,TRUE,FALSE,
TSC2,1,1,1,0,0,1,0,TSC: everolimus for AML; tumor/CNS/skin/cardiac surveillance,,,Extension gene; EXIST-1/2 trials; TSC2 more severe phenotype,TRUE,FALSE,
TTC21B,1,0,0,0,0,1,0,TTC21B/NPHP12: retinal/hepatic surveillance,S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; extrarenal from OMIM,TRUE,FALSE,Ciliopathies
TTC8,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
UMOD,1,0,0,0,0,0,1,ADTKD-UMOD: clarifies working diagnosis in CKDu/FSGS; donor screening (AD),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; paper p.243 names UMOD specifically,TRUE,FALSE,Ciliopathies
VHL,1,0,0,0,0,1,0,VHL: renal/CNS/retinal/adrenal tumor surveillance,,,Extension gene; established surveillance protocols,TRUE,FALSE,
WDPCP,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
WDR19,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
WDR4,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
WDR72,0,0,0,0,0,0,0,,S2,,,FALSE,FALSE,Tubulopathies
WDR73,1,1,0,1,0,1,0,Galloway-Mowat: avoid IS; microcephaly + cerebellar surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 251300,FALSE,FALSE,Glomerulopathies
WFS1,1,0,0,0,0,1,0,"Wolfram: optic atrophy, diabetes insipidus, deafness surveillance",,,Extension gene; extrarenal from OMIM,TRUE,FALSE,
WNK1,1,1,1,0,1,0,0,PHA2 (Gordon): thiazide diuretics; hypertension prevention,S2,Specific treatment. Prevention of hypertension complications,S2 utility explicit: Specific treatment. Prevention of hypertension complications,TRUE,FALSE,Tubulopathies
WNK4,1,1,1,0,1,0,0,auto-assigned by keyword matching,S2,Specific treatment. Prevention of hypertension complications,,FALSE,FALSE,Tubulopathies
WNT9B,0,0,0,0,0,0,0,,S4,genetic counseling,,FALSE,FALSE,CAKUT
WT1,1,1,0,1,0,1,1,WT1 nephropathy: avoid IS; gonadoblastoma/Wilms tumor surveillance; donor screening,S1,Renal protection strategies. Adequation of treatment and follow-up,"S1 utility generic; paper pp.243,245-246 names specific interventions",TRUE,FALSE,Glomerulopathies
XDH,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Prevention of recurrent nephrolithiasis/nephrocalcinois,,FALSE,FALSE,Tubulopathies
XPO5,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
ZNF423,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
